viral_NCBI_refname,description
NC_004730.1," Indian peanut clump virus RNA 2, complete sequence"
NC_001451.1," Avian infectious bronchitis virus, complete genome"
NC_048213.1," Infectious bronchitis virus isolate Ind-TN92-03, complete genome"
NC_004178.1," Infectious bursal disease virus segment A, complete sequence"
NC_004179.1," Infectious bursal disease virus segment B, complete sequence"
NC_003781.1," Infectious flacherie virus, complete genome"
NC_001652.1," Infectious hematopoietic necrosis virus, complete genome"
NC_001915.1," Infectious pancreatic necrosis virus segment A, complete sequence"
NC_001916.1," Infectious pancreatic necrosis virus segment B, complete sequence"
NC_003494.1," Infectious spleen and kidney necrosis virus, complete genome"
NC_026438.1," Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
NC_026435.1," Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence"
NC_026437.1," Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds"
NC_026433.1," Influenza A virus (A/California/07/2009(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds"
NC_026436.1," Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
NC_026434.1," Influenza A virus (A/California/07/2009(H1N1)) segment 6 neuraminidase (NA) gene, complete cds"
NC_026431.1," Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
NC_026432.1," Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
NC_007357.1," Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) polymerase (PB2) gene, complete cds"
NC_007358.1," Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
NC_007359.1," Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PA) and PA-X protein (PA-X) genes, complete cds"
NC_007362.1," Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) hemagglutinin (HA) gene, complete cds"
NC_007360.1," Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds"
NC_007361.1," Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) neuraminidase (NA) gene, complete cds"
NC_007363.1," Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 7, complete sequence"
NC_007364.1," Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 8, complete sequence"
NC_004910.1," Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004911.1," Influenza A virus pb1 gene for polymerase Pb1, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004912.1," Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004908.1," Influenza A virus ha gene for Hemagglutinin, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004905.2," Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence"
NC_004909.1," Influenza A virus na gene for neuraminidase, genomic RNA, strain A/Hong Kong/1073/99(H9N2)"
NC_004907.1," Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 7, complete sequence"
NC_004906.1," Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 8, complete sequence"
NC_007378.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 1, complete sequence"
NC_007375.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 2, complete sequence"
NC_007376.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 3, complete sequence"
NC_007374.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 4, complete sequence"
NC_007381.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 5, complete sequence"
NC_007382.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 6, complete sequence"
NC_007377.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 7, complete sequence"
NC_007380.1," Influenza A virus (A/Korea/426/1968(H2N2)) segment 8, complete sequence"
NC_007373.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 1, complete sequence"
NC_007372.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 2, complete sequence"
NC_007371.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 3, complete sequence"
NC_007366.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 4, complete sequence"
NC_007369.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence"
NC_007368.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 6, complete sequence"
NC_007367.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence"
NC_007370.1," Influenza A virus (A/New York/392/2004(H3N2)) segment 8, complete sequence"
NC_002023.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 1, complete sequence"
NC_002021.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 2, complete sequence"
NC_002022.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 3, complete sequence"
NC_002017.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 4, complete sequence"
NC_002019.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence"
NC_002018.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 6, complete sequence"
NC_002016.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence"
NC_002020.1," Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence"
NC_026422.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds"
NC_026423.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
NC_026424.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
NC_026425.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 4 hemagglutinin (HA) gene, complete cds"
NC_026426.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds"
NC_026429.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 6 neuraminidase (NA) gene, complete cds"
NC_026427.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
NC_026428.1," Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
NC_002204.1," Influenza B virus RNA 1, complete sequence"
NC_002205.1," Influenza B virus (B/Lee/1940) segment 2, complete sequence"
NC_002206.1," Influenza B virus (B/Lee/1940) segment 3, complete sequence"
NC_002207.1," Influenza B virus (B/Lee/1940) segment 4, complete sequence"
NC_002208.1," Influenza B virus (B/Lee/1940) segment 5, complete sequence"
NC_002209.1," Influenza B virus (B/Lee/1940) segment 6, complete sequence"
NC_002210.1," Influenza B virus (B/Lee/1940) segment 7, complete sequence"
NC_002211.1," Influenza B virus (B/Lee/1940) segment 8, complete sequence"
NC_006307.2," Influenza C virus (C/Ann Arbor/1/50) PB2 gene for polymerase 2, complete cds"
NC_006308.2," Influenza C virus (C/Ann Arbor/1/50) PB1 gene for polymerase 1, complete cds"
NC_006309.2," Influenza C virus (C/Ann Arbor/1/50) P3 gene for polymerase 3, complete cds"
NC_006310.2," Influenza C virus (C/Ann Arbor/1/50) HEF gene for hemagglutinin-esterase-fusion, complete cds"
NC_006311.1," Influenza C virus (C/Ann Arbor/1/50) segment 5, complete sequence"
NC_006312.2," Influenza C virus (C/Ann Arbor/1/50) M1, CM2 genes for matrix protein, CM2 protein, complete cds"
NC_006306.2," Influenza C virus (C/Ann Arbor/1/50) segment 7, complete sequence"
NC_036616.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 1 polymerase PB2 (PB2) gene, complete cds"
NC_036615.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 2 polymerase PB1 (PB1) gene, complete cds"
NC_036619.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 3 polymerase 3 (P3) gene, complete cds"
NC_036618.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 4 hemagglutinin-esterase precursor (HEF) gene, complete cds"
NC_036617.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 5 nucleoprotein (NP) gene, complete cds"
NC_036620.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 6 P42 (P42) gene, complete cds"
NC_036621.1," Influenza D virus (D/swine/Oklahoma/1334/2011) segment 7 nonstructural protein 2 (NS2) and nonstructural protein 1 (NS1) genes, complete cds"
NC_043588.1," Ingwavuma virus isolate SA An 4165 RNA polymerase gene, complete cds"
NC_043589.1," Ingwavuma virus isolate SA An 4165 membrane glycoprotein polyprotein gene, complete cds"
NC_043590.1," Ingwavuma virus isolate SA An 4165 nucleocapsid protein gene, complete cds"
NC_028230.1," Inhangapi virus strain BEAR177325, complete genome"
NC_023615.1, Invertebrate iridescent virus 22 isolate IIV22Aberystwyth complete genome
NC_023611.1, Invertebrate iridescent virus 30 complete genome
NC_008187.1," Aedes taeniorhynchus iridescent virus, complete genome"
NC_003038.1," Invertebrate iridescent virus 6, complete genome"
NC_021901.1, Invertebrate iridovirus 22 complete genome
NC_023613.1, Invertebrate iridovirus 25 complete genome
NC_011142.1," Iodobacteriophage phiPLPE, complete genome"
NC_001605.1," Mastomys natalensis papillomavirus, complete genome"
NC_043203.1," Ipomea begomovirus satellite 1 isolate PR3-2, complete sequence"
NC_013022.2," Ipomoea yellow vein virus, complete genome"
NC_007906.1," Ippy virus segment L, complete sequence"
NC_007905.1," Ippy virus segment S, complete sequence"
NC_018833.1," Iranian johnsongrass mosaic virus, complete genome"
NC_003613.1," Iresine viroid 1, complete genome"
NC_034544.1," Iriri virus nucleoprotein, phosphoprotein, matrix, hypothetical proteins, glycoprotein, hypothetical proteins, and polymerase genes, complete cds"
NC_029076.1," Iris severe mosaic virus isolate BJ, complete genome"
NC_029799.1," Iris yellow spot virus segment L, complete sequence"
NC_038232.1," Iris yellow spot virus M segment, complete sequence"
NC_029800.1," Iris yellow spot virus non-structural protein (NSs) and nucleoprotein (N) genes, complete cds"
NC_020809.1," Irkut virus, complete genome"
NC_033277.1," Isaria javanica chrysovirus 1 isolate IjCV-1 RNA-dependent RNA polymerase (RdRp) gene, complete cds"
NC_033317.1," Isaria javanica chrysovirus 1 isolate IjCV-1 capsid protein (CP) gene, complete cds"
NC_033318.1," Isaria javanica chrysovirus 1 isolate IjCV-1 hypothetical protein gene, complete cds"
NC_033278.1," Isaria javanica chrysovirus 1 isolate IjCV-1 putative protease gene, complete cds"
NC_020806.1," Isfahan virus N gene, P gene, M gene, G gene and L gene, genomic RNA"
NC_009025.1, Israel acute paralysis virus of bees
NC_034536.1," Itacaiunas virus nucleoprotein, phosphoprotein, matrix, hypothetical protein, glycoprotein, hypothetical protein, and polymerase genes, complete cds"
NC_029691.1," Ixeridium yellow mottle virus 1 isolate Bonghwa, complete genome"
NC_034243.1," Ixeridium yellow mottle virus 2, complete genome"
NC_001494.1," Jaagsiekte sheep retrovirus, complete genome"
NC_038796.1," Jacquemontia mosaic Yucatan virus segment DNA-A, complete sequence"
NC_038797.1," Jacquemontia mosaic Yucatan virus segment DNA-B, complete sequence"
NC_038960.1," Jacquemontia yellow mosaic virus isolate [Venezuela:Rio Cocollar 1250:2009] segment DNA-A, complete sequence"
NC_040181.1," Jacquemontia yellow mosaic virus isolate [Venezuela:Rio Cocollar 1250:2009] segment DNA-B, complete sequence"
NC_043526.1," Jacquemontia yellow vein virus isolate 1915 clone 1 segment DNA-A, complete sequence"
NC_043559.1," Jamestown Canyon virus strain 61V2235 L protein gene, complete cds"
NC_043560.1," Jamestown Canyon virus strain 61V2235 M polyprotein gene, complete cds"
NC_043558.1," Jamestown Canyon virus strain 61V2235 nucleoprotein and NSs protein genes, complete cds"
NC_015123.1," Japanese eel endothelial cells-infecting virus, complete genome"
NC_001437.1," Japanese encephalitis virus, genome"
NC_013133.1," Japanese holly fern mottle virus RNA1, complete genome"
NC_013134.1," Japanese holly fern mottle virus RNA2, complete genome"
NC_002187.1," Japanese iris necrotic ring virus, complete genome"
NC_039026.1," Japanese macaque simian foamy virus proviral DNA, complete genome, clone: JM356"
NC_038850.1," Japanese soil-borne wheat mosaic virus genomic RNA 1 for 152-kDa protein, 59-kDa readthrough protein, 37-kDa movement protein, complete and partial cds"
NC_038851.1," Japanese soil-borne wheat mosaic virus genomic RNA 2 for capsid protein, 64-kDa readthrough protein, 19-kDa cys-rich protein, complete and partial cds"
NC_000947.1," Japanese yam mosaic virus, complete genome"
NC_030926.1," Jasmine virus C isolate A-31, complete genome"
NC_029051.1," Jasmine ringspot virus, complete genome"
NC_043578.1," Jatobal virus RNA polymerase gene, complete cds"
NC_043577.1," Jatobal virus isolate BeAn 423380 polyprotein gene, complete cds"
NC_043576.1," Jatobal virus nucleocapsid protein and nonstructural protein genes, complete cds"
NC_025725.1," Jatropha leaf crumple virus isolate SKJ1, complete genome"
NC_038962.1," Jatropha leaf curl Gujarat virus, complete genome"
NC_011268.1," Jatropha leaf curl virus DNA A, complete genome"
NC_038956.1," Jatropha leaf yellow mosaic Katarniaghat virus isolate Katerniaghat 2 segment DNA-A, complete sequence"
NC_038449.1," Jatropha mosaic India virus-[Lucknow] strain SK-2 segment DNA-A, complete sequence"
NC_019034.1," Jatropha mosaic Nigerian virus isolate 2 segment DNA-A, complete sequence"
NC_024012.1," Jatropha mosaic virus strain Jamaica:Spanish Town:2004 clone A1 segment DNA-A, complete sequence"
NC_024013.1," Jatropha mosaic virus strain Jamaica:Spanish Town:2004 clone B1 segment DNA-B, complete sequence"
NC_011309.2," Jatropha yellow mosaic virus segment DNA-A, complete sequence"
NC_001699.1," JC polyomavirus, complete genome"
NC_034399.1," Jeju virus strain 10-11 RNA-dependent RNA polymerase gene, complete cds"
NC_034404.1," Jeju virus strain 10-11 glycoprotein precursor, gene, complete cds"
NC_034398.1," Jeju virus strain 10-11 nucleocapsid protein gene, complete cds"
NC_001654.1," Jembrana disease virus Tabanan/87 strain, complete genome"
NC_032999.1," Jingmen picorna-like virus strain JMYJCC71227 hypothetical protein gene, complete cds"
NC_024113.1," Jingmen Tick Virus isolate SY84 segment 1, complete sequence"
NC_024112.1," Jingmen Tick Virus isolate SY84 segment 2, complete sequence"
NC_024114.1," Jingmen Tick Virus isolate SY84 segment 3, complete sequence"
NC_024111.1," Jingmen Tick Virus isolate SY84 segment 4, complete sequence"
NC_033815.1," Jingmen tombus-like virus 1 strain JMYJCC68055 hypothetical protein genes, complete cds"
NC_033696.1," Jingmen tombus-like virus 2 strain JMYJCC11049 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_005287.1," Johnsongrass chlorotic stripe mosaic virus, complete genome"
